                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78018,                0.73168,                0.88749,                0.80623,                0.74032,                0.79228,                 0.6078,                0.81626,                 1.1426,                0.89776,             0.00082925,             0.00082925,             0.00082925
                     37,                0.77587,                 0.7416,                 0.8898,                0.79291,                0.73365,                0.79759,                0.61286,                0.82485,                 1.1531,                0.89743,             0.00081688,             0.00081688,             0.00081688
                     38,                0.77836,                0.71418,                0.89483,                0.75248,                  0.838,                0.82061,                0.65376,                0.74519,                0.88862,                0.88337,              0.0008045,              0.0008045,              0.0008045
                     39,                 0.7559,                0.71576,                0.89095,                0.72608,                0.79354,                0.81369,                0.64274,                0.79143,                0.97205,                0.88858,             0.00079213,             0.00079213,             0.00079213
                     40,                0.78076,                0.71437,                 0.8899,                0.77964,                0.76146,                0.78207,                0.61948,                0.77501,                0.99697,                0.88744,             0.00077975,             0.00077975,             0.00077975
                     41,                0.74888,                0.69909,                0.88012,                0.74051,                0.80821,                0.75111,                0.58785,                0.76745,                 1.1585,                0.88885,             0.00076738,             0.00076738,             0.00076738
                     42,                0.76573,                0.66663,                0.88663,                0.74541,                0.82111,                0.79986,                0.62651,                0.78381,                 0.9386,                0.89732,               0.000755,               0.000755,               0.000755
                     43,                0.73697,                0.68567,                0.88465,                0.76438,                0.83431,                0.80545,                0.63044,                0.75938,                 1.0685,                0.88856,             0.00074263,             0.00074263,             0.00074263
                     44,                 0.7517,                0.68114,                0.88679,                0.79093,                0.78478,                0.81451,                0.65729,                0.75257,                0.87881,                0.87751,             0.00073025,             0.00073025,             0.00073025
                     45,                0.74656,                0.66927,                0.88708,                 0.8348,                0.74802,                0.81781,                0.64932,                0.75026,                0.89574,                 0.8732,             0.00071788,             0.00071788,             0.00071788
                     46,                0.73399,                0.66842,                0.88565,                0.76883,                0.78823,                0.80325,                0.63227,                0.77987,                0.98694,                 0.8816,              0.0007055,              0.0007055,              0.0007055
                     47,                  0.735,                0.68028,                0.88259,                   0.84,                0.78327,                0.84031,                0.66985,                0.75616,                0.92648,                0.88355,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.7569,                0.64534,                0.88001,                0.83106,                0.79554,                0.83882,                0.68134,                0.74448,                0.86269,                0.88135,             0.00068075,             0.00068075,             0.00068075
                     49,                0.74476,                0.69879,                0.88626,                 0.7869,                0.73463,                 0.7988,                0.63438,                0.77637,                 1.3191,                0.89468,             0.00066838,             0.00066838,             0.00066838
