,Date-time,Class_in,Class_out
148,2023-12-24 00:03:27.081091,,car
149,2023-12-24 00:03:27.081091,,bike
150,2023-12-24 00:03:27.081091,,car
151,2023-12-24 00:03:27.199000,,truck
152,2023-12-24 00:03:27.310564,,car
153,2023-12-24 00:03:27.784760,,car
154,2023-12-24 00:03:28.121123,,car
155,2023-12-24 00:03:28.249034,,car
156,2023-12-24 00:03:28.574968,,bike
157,2023-12-24 00:03:28.574968,,car
158,2023-12-24 00:03:29.258424,,car
159,2023-12-24 00:03:30.375391,,bike
160,2023-12-24 00:03:30.727318,,truck
161,2023-12-24 00:03:30.727318,,bike
162,2023-12-24 00:03:31.363469,,bike
163,2023-12-24 00:03:31.485776,bike,
164,2023-12-24 00:03:31.598538,,car
165,2023-12-24 00:03:31.832429,,bike
166,2023-12-24 00:03:32.760308,,bike
167,2023-12-24 00:03:34.709609,,bike
168,2023-12-24 00:03:37.646763,,bike
169,2023-12-24 00:03:38.101194,bike,
170,2023-12-24 00:03:38.665578,,bike
171,2023-12-24 00:03:39.202040,,truck
172,2023-12-24 00:03:40.663089,,bike
173,2023-12-24 00:03:41.672137,,bike
