                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62683,                0.49288,                0.85252,                0.83268,                 0.8062,                0.83765,                0.67532,                0.76567,                 1.0093,                0.91348,             0.00082925,             0.00082925,             0.00082925
                     37,                0.63076,                 0.4956,                0.85455,                0.82389,                0.78658,                0.83065,                0.67578,                0.76113,                0.98516,                0.90789,             0.00081688,             0.00081688,             0.00081688
                     38,                0.64001,                0.49033,                 0.8589,                0.78942,                0.82092,                0.83372,                0.67434,                0.74062,                0.87521,                0.89915,              0.0008045,              0.0008045,              0.0008045
                     39,                0.61906,                0.49506,                 0.8571,                0.81859,                0.78527,                0.83717,                0.66686,                0.74471,                 1.0113,                0.90316,             0.00079213,             0.00079213,             0.00079213
                     40,                0.63069,                0.49058,                0.85675,                0.84979,                0.75822,                 0.8382,                 0.6706,                0.77316,                0.94005,                0.90046,             0.00077975,             0.00077975,             0.00077975
                     41,                0.61672,                0.48603,                0.84797,                 0.7733,                0.85622,                0.85676,                0.69164,                0.74229,                0.86553,                0.89626,             0.00076738,             0.00076738,             0.00076738
                     42,                0.64251,                0.48072,                 0.8542,                0.84353,                0.78148,                0.82072,                0.65171,                0.76142,                0.81895,                0.90758,               0.000755,               0.000755,               0.000755
                     43,                0.61156,                0.49199,                0.85556,                0.82824,                0.79451,                 0.8222,                  0.658,                0.74077,                0.96625,                0.90135,             0.00074263,             0.00074263,             0.00074263
                     44,                0.62065,                0.49047,                0.85203,                0.83922,                 0.7331,                0.82613,                0.66103,                0.76832,                0.98149,                0.90999,             0.00073025,             0.00073025,             0.00073025
                     45,                0.61048,                0.47469,                0.85351,                0.81408,                0.75848,                 0.8226,                 0.6586,                0.78557,                0.93912,                0.92034,             0.00071788,             0.00071788,             0.00071788
